gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
11,19392,10393.5,37,2499.56,41.9,39.7,18.4,95.0,41.9,19392,16653,10.13,7.29,15635,10125.8,3757,0.00,18.40,28200.9,1,0.0996,0.1195,0.1196,50716,28348,98999,56692
12,19392,10285.8,575,2586.22,40.0,39.7,20.3,96.2,40.0,19392,16653,10.13,7.30,15789,10165.8,3603,0.00,18.86,28175.7,0,0.0996,0.1194,0.1196,51791,28084,97241,56061
13,19392,10300.1,105,2832.07,32.2,39.4,28.4,99.1,39.4,19392,16672,10.13,7.30,16969,10199.4,2423,0.00,19.26,28208.4,1,0.0995,0.1193,0.1195,54016,28190,104430,56322
14,19392,10460.5,243,2596.73,31.6,39.1,29.4,99.2,39.1,19392,16672,10.13,7.30,18249,10264.6,1144,0.00,20.02,28297.9,2,0.0994,0.1192,0.1194,59035,28598,110762,57106
15,19392,10569.4,313,2665.27,30.9,38.1,30.9,99.5,38.1,19392,16672,10.36,7.30,15967,10340.8,3425,0.00,20.91,28418.9,3,0.0994,0.1190,0.1194,54521,29190,102816,58232
16,19392,10128.1,234,2762.51,32.2,41.6,26.3,98.2,41.6,19392,16672,10.36,7.30,15529,10287.6,3863,0.00,20.29,28197.3,4,0.0993,0.1189,0.1193,57035,27870,107308,55601
17,19392,10461.7,37,2627.69,32.5,35.3,32.2,99.9,35.3,19392,17093,10.36,7.30,18080,10331.2,1312,0.00,20.80,28446.3,5,0.0992,0.1188,0.1192,64761,29455,122043,58533
18,19392,10445.2,211,2848.40,32.8,36.9,30.3,99.7,36.9,19392,17093,10.36,7.30,17322,10359.7,2070,0.00,21.13,28380.1,0,0.0991,0.1186,0.1191,66808,28872,130784,57609
19,19392,10542.3,1198,2468.02,34.1,38.8,27.2,99.0,38.8,19392,17093,10.36,7.30,16243,10405.3,3149,0.00,21.66,28419.1,1,0.0990,0.1185,0.1190,46448,29008,94070,57826
20,19392,10416.2,37,2958.41,33.1,39.1,27.8,99.0,39.1,19392,17093,10.36,7.30,16750,10408.1,2643,0.00,21.70,28296.4,2,0.0989,0.1183,0.1189,53702,28150,107195,56243
21,19392,10373.7,223,2647.05,38.1,33.4,28.4,99.3,38.1,19392,17093,10.36,7.30,15803,10399.5,3590,0.00,21.60,28362.8,3,0.0988,0.1181,0.1188,62701,28609,120475,57201
22,19392,10580.7,406,2814.95,31.3,36.6,32.2,99.8,36.6,19392,17093,10.36,7.30,16357,10444.8,3035,0.00,22.13,28451.7,4,0.0986,0.1180,0.1186,53144,29094,104908,58052
23,19392,10319.8,45,2807.80,34.4,31.6,34.1,99.9,34.4,19392,17093,10.36,7.30,15922,10413.5,3470,0.00,21.76,28326.8,5,0.0985,0.1178,0.1185,56459,28375,111252,56529
24,19392,10409.8,37,2830.66,37.5,30.9,31.6,99.6,37.5,19392,17093,10.36,7.30,16417,10412.6,2975,0.00,21.75,28407.3,6,0.0984,0.1176,0.1184,51876,28908,97521,57620
25,19392,10413.4,394,2705.54,38.1,29.4,32.5,99.4,38.1,19392,17093,10.36,7.30,16621,10412.8,2771,0.00,21.75,28270.5,7,0.0983,0.1174,0.1183,53477,27941,102833,55922
26,19392,10440.9,459,2808.98,29.4,33.1,37.5,99.5,37.5,19392,17093,10.36,7.30,16128,10419.8,3264,0.00,21.83,28416.1,8,0.0981,0.1172,0.1181,42900,28916,83984,57761
27,19392,10546.7,47,2781.41,32.5,29.1,38.4,99.3,38.4,19392,17093,10.36,7.30,16135,10451.5,3258,0.00,22.20,28469.8,9,0.0980,0.1170,0.1180,65271,29211,123976,58215
